JOB_NUMBER,JOB_TYPE,C_O_ISSUE_DATE,BIN_NUMBER,BOROUGH,NUMBER,STREET,POSTCODE,PR_DWELLING_UNIT,EX_DWELLING_UNIT,APPLICATION_STATUS_RAW,FILING_STATUS_RAW,ITEM_NUMBER,ISSUE_TYPE,LATITUDE,LONGITUDE,CENSUS_TRACT,NTA,LOCATION
120440264,A1,12/14/16,1018110,Manhattan,344,3RD AVENUE,10010,183,183,Issued,New,11,Temporary,40.740321,-73.982076,68,Gramercy,"(40.740321, -73.982076)"
121181844,A1,11/2/18,1015219,Manhattan,151,WEST 34TH STREET,10001,,,Issued,New,11,Temporary,40.750516,-73.989479,109,Midtown-Midtown South,"(40.750516, -73.989479)"
121174656,A1,12/14/16,1015824,Manhattan,6,WEST 32ND STREET,10001,4,4,Issued,New,6,Temporary,40.747381,-73.986051,76,Midtown-Midtown South,"(40.747381, -73.986051)"
121181844,A1,8/8/18,1015219,Manhattan,151,WEST 34TH STREET,10001,,,Issued,New,10,Temporary,40.750516,-73.989479,109,Midtown-Midtown South,"(40.750516, -73.989479)"
103139587,A1,12/14/16,1013039,Manhattan,62,9 AVENUE,10011,22,,Issued,New,46,Temporary,40.741508,-74.004944,83,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.741508, -74.004944)"
121329927,A1,12/14/16,1016057,Manhattan,54,WEST 40TH STREET,10018,,43,Issued,New,3,Temporary,40.752909,-73.983534,84,Midtown-Midtown South,"(40.752909, -73.983534)"
121181844,A1,5/1/18,1015219,Manhattan,151,WEST 34TH STREET,10001,,,Issued,New,9,Temporary,40.750516,-73.989479,109,Midtown-Midtown South,"(40.750516, -73.989479)"
121181844,A1,1/17/18,1015219,Manhattan,151,WEST 34TH STREET,10001,,,Issued,New,8,Temporary,40.750516,-73.989479,109,Midtown-Midtown South,"(40.750516, -73.989479)"
121092744,A1,1/23/19,1086701,Manhattan,223,WEST 34TH STREET,10119,348,0,Issued,New,16,Temporary,40.751384,-73.991529,109,Midtown-Midtown South,"(40.751384, -73.991529)"
104476309,A1,9/15/17,1001005,Manhattan,48,WALL STREET,10005,,,Issued,New,36,Temporary,40.706331,-74.009396,7,Battery Park City-Lower Manhattan,"(40.706331, -74.009396)"
104476309,A1,6/13/17,1001005,Manhattan,48,WALL STREET,10005,,,Issued,New,35,Temporary,40.706331,-74.009396,7,Battery Park City-Lower Manhattan,"(40.706331, -74.009396)"
104476309,A1,3/15/17,1001005,Manhattan,48,WALL STREET,10005,,,Issued,New,34,Temporary,40.706331,-74.009396,7,Battery Park City-Lower Manhattan,"(40.706331, -74.009396)"
104476309,A1,12/13/16,1001005,Manhattan,48,WALL STREET,10005,,,Issued,New,33,Temporary,40.706331,-74.009396,7,Battery Park City-Lower Manhattan,"(40.706331, -74.009396)"
104560235,NB,12/14/16,1089775,Manhattan,305,EAST   51 STREET,10022,123,,Issued,New,12,Temporary,40.755335,-73.967638,98,Turtle Bay-East Midtown,"(40.755335, -73.967638)"
121326831,NB,12/14/16,1090162,Manhattan,505,WEST 19TH STREET,10011,35,,Issued,New,9,Temporary,40.745425,-74.006395,99,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.745425, -74.006395)"
110129922,NB,12/14/16,1088519,Manhattan,516,WEST 27TH STREET,10001,56,,Issued,New,23,Temporary,40.750646,-74.003396,99,Hudson Yards-Chelsea-Flatiron-Union Square,"(40.750646, -74.003396)"
121331102,NB,12/14/16,1088841,Manhattan,855,AVENUE OF THE AMERICAS,10001,375,,Issued,New,4,Temporary,40.747417,-73.989527,101,Midtown-Midtown South,"(40.747417, -73.989527)"
104476309,A1,9/9/16,1001005,Manhattan,48,WALL STREET,10005,,,Issued,New,32,Temporary,40.706331,-74.009396,7,Battery Park City-Lower Manhattan,"(40.706331, -74.009396)"
104476309,A1,6/9/16,1001005,Manhattan,48,WALL STREET,10005,,,Issued,New,31,Temporary,40.706331,-74.009396,7,Battery Park City-Lower Manhattan,"(40.706331, -74.009396)"
122373234,A1,2/6/17,1083766,Manhattan,428,WEST 45TH STREET,10036,,,Issued,New,1,Final,40.760859,-73.992445,121,Clinton,"(40.760859, -73.992445)"
104844581,NB,12/14/16,1088437,Manhattan,440,WEST   42 STREET,10036,1483,0,Issued,New,32,Temporary,40.759146,-73.994355,115,Clinton,"(40.759146, -73.994355)"
103185731,A1,12/14/16,1024956,Manhattan,596,9 AVENUE,10036,3,,Issued,New,7,Temporary,40.758893,-73.992283,121,Clinton,"(40.758893, -73.992283)"
121092744,A1,10/4/18,1086701,Manhattan,223,WEST 34TH STREET,10119,348,0,Issued,New,15,Temporary,40.751384,-73.991529,109,Midtown-Midtown South,"(40.751384, -73.991529)"
