GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Built 2010 or later,Margin of Error; Total: - Built 2010 or later,Estimate; Total: - Built 2000 to 2009,Margin of Error; Total: - Built 2000 to 2009,Estimate; Total: - Built 1990 to 1999,Margin of Error; Total: - Built 1990 to 1999,Estimate; Total: - Built 1980 to 1989,Margin of Error; Total: - Built 1980 to 1989,Estimate; Total: - Built 1970 to 1979,Margin of Error; Total: - Built 1970 to 1979,Estimate; Total: - Built 1960 to 1969,Margin of Error; Total: - Built 1960 to 1969,Estimate; Total: - Built 1950 to 1959,Margin of Error; Total: - Built 1950 to 1959,Estimate; Total: - Built 1940 to 1949,Margin of Error; Total: - Built 1940 to 1949,Estimate; Total: - Built 1939 or earlier,Margin of Error; Total: - Built 1939 or earlier
1400000US36061028300,36061028300,"Census Tract 283, New York County, New York",3298,51,17,28,0,16,7,11,58,50,57,55,806,171,414,154,277,104,1662,208
1400000US36061028500,36061028500,"Census Tract 285, New York County, New York",2782,72,0,16,12,21,93,54,10,16,40,35,104,71,40,35,103,63,2380,142
1400000US36061028700,36061028700,"Census Tract 287, New York County, New York",1765,49,0,11,7,14,0,11,0,11,27,25,30,31,60,37,203,77,1438,100
1400000US36061029100,36061029100,"Census Tract 291, New York County, New York",3992,99,17,29,109,62,130,82,12,20,120,82,206,80,235,96,67,56,3096,205
1400000US36061029300,36061029300,"Census Tract 293, New York County, New York",3044,68,0,16,0,16,0,16,213,114,64,72,32,36,99,72,110,63,2526,156
1400000US36061029500,36061029500,"Census Tract 295, New York County, New York",3503,49,22,34,47,42,10,16,54,52,96,78,83,59,100,54,306,106,2785,188
1400000US36061029700,36061029700,"Census Tract 297, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061029900,36061029900,"Census Tract 299, New York County, New York",1544,34,0,11,0,11,8,13,13,19,42,33,50,33,1043,122,200,74,188,79
1400000US36061030300,36061030300,"Census Tract 303, New York County, New York",1866,56,0,11,0,11,0,11,0,11,76,54,0,11,86,47,227,78,1477,105
1400000US36061030700,36061030700,"Census Tract 307, New York County, New York",1902,51,0,11,0,11,0,11,26,23,9,14,94,39,265,68,499,115,1009,123
1400000US36061030900,36061030900,"Census Tract 309, New York County, New York",3539,88,0,16,15,25,33,40,0,16,369,107,172,93,1448,194,200,120,1302,187
1400000US36061031100,36061031100,"Census Tract 311, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
1400000US36061031703,36061031703,"Census Tract 317.03, New York County, New York",4388,71,92,56,1959,248,857,229,1327,226,87,91,66,75,0,16,0,16,0,16
1400000US36061031704,36061031704,"Census Tract 317.04, New York County, New York",3873,93,23,37,694,227,443,167,2393,279,158,119,47,40,52,59,33,51,30,36
1400000US36061031900,36061031900,"Census Tract 319, New York County, New York",0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11
