GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Science and Engineering,Margin of Error; Total: - Science and Engineering,Estimate; Total: - Science and Engineering Related Fields,Margin of Error; Total: - Science and Engineering Related Fields,Estimate; Total: - Business,Margin of Error; Total: - Business,Estimate; Total: - Education,Margin of Error; Total: - Education,"Estimate; Total: - Arts, Humanities and Other","Margin of Error; Total: - Arts, Humanities and Other"
1400000US36061023900,36061023900,"Census Tract 239, New York County, New York",626,178,107,65,12,18,119,80,44,50,344,120
1400000US36061024000,36061024000,"Census Tract 240, New York County, New York",52,55,11,24,0,11,21,36,0,11,20,24
1400000US36061024100,36061024100,"Census Tract 241, New York County, New York",1992,426,486,176,268,189,322,186,54,44,862,291
1400000US36061024200,36061024200,"Census Tract 242, New York County, New York",399,110,241,88,31,26,21,22,26,20,80,36
1400000US36061024301,36061024301,"Census Tract 243.01, New York County, New York",837,246,116,61,71,49,66,42,17,18,567,249
1400000US36061024302,36061024302,"Census Tract 243.02, New York County, New York",294,166,69,56,17,18,98,94,59,86,51,70
1400000US36061024500,36061024500,"Census Tract 245, New York County, New York",1994,518,649,282,108,92,281,195,142,104,814,330
1400000US36061024700,36061024700,"Census Tract 247, New York County, New York",1363,327,279,115,173,149,198,141,129,104,584,234
1400000US36061024900,36061024900,"Census Tract 249, New York County, New York",120,60,38,28,3,5,16,19,6,8,57,47
1400000US36061025100,36061025100,"Census Tract 251, New York County, New York",413,136,92,55,25,29,39,34,18,20,239,109
1400000US36061025300,36061025300,"Census Tract 253, New York County, New York",2019,360,820,240,150,93,237,167,57,41,755,229
1400000US36061025500,36061025500,"Census Tract 255, New York County, New York",2645,453,1033,264,365,219,225,139,140,76,882,324
1400000US36061025700,36061025700,"Census Tract 257, New York County, New York",1844,213,772,138,114,58,225,80,99,56,634,136
1400000US36061025900,36061025900,"Census Tract 259, New York County, New York",1406,180,488,110,86,49,218,97,25,30,589,104
1400000US36061026100,36061026100,"Census Tract 261, New York County, New York",1139,310,391,189,86,68,208,124,19,32,435,221
1400000US36061026300,36061026300,"Census Tract 263, New York County, New York",1140,345,288,138,67,54,192,136,112,97,481,226
1400000US36061026500,36061026500,"Census Tract 265, New York County, New York",2493,473,884,336,193,147,163,101,90,71,1163,336
