86292,NEO,Jack Russell Terrier,Manhattan,7,7/11/16,7/24/17
87417,UNKNOWN,Shiba Inu,Manhattan,7,7/13/16,7/13/17
87823,BRAVO,West High White Terrier,Manhattan,7,7/14/16,7/14/18
87860,CODY,Unknown,Manhattan,7,7/14/16,8/21/17
88184,CALI,Bernese Mountain Dog,Manhattan,7,7/15/16,7/15/17
88593,MAXWELL,Unknown,Manhattan,7,7/17/16,6/18/17
88688,MADISON ,Pug,Manhattan,7,7/18/16,6/29/17
88947,COOPER,Havanese,Manhattan,7,7/19/16,6/27/17
89384,FRIDA,Brussels Griffon,Manhattan,7,7/20/16,6/25/17
89476,VENUS,Brussels Griffon,Manhattan,7,7/20/16,6/25/17
89907,OSCAR,Havanese,Manhattan,7,7/22/16,6/24/17
90095,YIYI,French Bulldog,Manhattan,7,7/23/16,7/23/17
91232,SIMBA,Labrador Retriever,Manhattan,7,7/28/16,7/28/18
91496,GIZMO,Shih Tzu,Manhattan,7,7/29/16,9/4/17
91559,EL,Pomeranian,Manhattan,7,7/29/16,7/29/17
91732,NAME NOT PROVIDED,Shiba Inu,Manhattan,7,7/30/16,7/30/17
91742,UNKNOWN,French Bulldog,Manhattan,7,7/31/16,7/31/17
92207,OSKAR ,Miniature Schnauzer,Manhattan,7,8/2/16,8/2/17
92858,JACKO,Jack Russell Terrier,Manhattan,7,8/4/16,8/30/17
92976,TWO ,Shiba Inu,Manhattan,7,8/5/16,8/6/17
93476,UNKNOWN,Chihuahua,Manhattan,7,8/8/16,8/8/17
94216,DUDLEY,Chihuahua Crossbreed,Manhattan,7,8/9/16,8/9/17
94311,FERGIE ,Jack Russell Terrier,Manhattan,7,8/9/16,8/25/17
94399,NESSA ,Jack Russell Terrier,Manhattan,7,8/9/16,8/25/17
94678,LUCY,Maltese,Manhattan,7,8/10/16,8/10/17
94679,LUCY,Yorkshire Terrier,Manhattan,7,8/10/16,8/10/17
95461,BRUSCHI,Labrador Retriever,Manhattan,7,8/14/16,8/14/18
95756,SUSHI,Shiba Inu,Manhattan,7,8/15/16,8/15/17
96203,JOEL ,Unknown,Manhattan,7,8/16/16,8/14/17
96704,MAYA,Labrador Retriever,Manhattan,7,8/18/16,8/18/18
98081,ARCHER,Shiba Inu,Manhattan,7,8/26/16,8/26/17
98437,UBALDO ,"Dachshund, Wirehaired",Manhattan,7,8/29/16,12/16/16
98605,LUCKY ,Unknown,Manhattan,7,8/30/16,10/7/17
99776,LIMA ,Miniature Pinscher,Manhattan,7,9/4/16,9/4/17
100643,TBD,Pug,Manhattan,7,9/8/16,9/8/18
102404,IRVING,Shih Tzu Crossbreed,Manhattan,7,9/15/16,9/15/17
102461,JAX,Chihuahua Crossbreed,Manhattan,7,9/16/16,9/16/17
103351,SNOOPY,Chihuahua,Manhattan,7,9/19/16,9/19/17
104175,HYDIE ,Cocker Spaniel,Manhattan,7,9/21/16,9/21/17
104338,DAGNY,American Pit Bull Mix / Pit Bull Mix,Manhattan,7,9/22/16,8/29/17
104393,BAILEY,Unknown,Manhattan,7,9/23/16,8/29/17
104935,MAGGIE,Cavalier King Charles Spaniel,Manhattan,7,9/26/16,8/24/17
106270,MAGGIE,Boston Terrier,Manhattan,7,10/2/16,10/2/17
106335,LITTLE ,Chihuahua,Manhattan,7,10/2/16,10/2/17
106349,DAVY,Chihuahua Crossbreed,Manhattan,7,10/2/16,10/2/17
107050,POPPY ,Cocker Spaniel,Manhattan,7,10/5/16,10/5/17
107580,XIAO ,Chihuahua,Manhattan,7,10/8/16,10/8/17
107732,MAX,Shih Tzu,Manhattan,7,10/10/16,10/10/17
107762,BILLY,Cocker Spaniel Crossbreed,Manhattan,7,10/10/16,10/10/17
108805,EDGY,"Bull Dog, English",Manhattan,7,10/15/16,11/23/17
108848,MILA,Siberian Husky,Manhattan,7,10/15/16,10/16/17
108974,ALBERT,Anatolian Shepherd Dog,Manhattan,7,10/16/16,10/16/17
109110,FRECKLES,Boston Terrier,Manhattan,7,10/17/16,10/20/17
109116,LORD ,Chihuahua Crossbreed,Manhattan,7,10/17/16,10/17/17
