GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - 1, detached","Margin of Error; Total: - 1, detached","Estimate; Total: - 1, attached","Margin of Error; Total: - 1, attached",Estimate; Total: - 2,Margin of Error; Total: - 2,Estimate; Total: - 3 or 4,Margin of Error; Total: - 3 or 4,Estimate; Total: - 5 to 9,Margin of Error; Total: - 5 to 9,Estimate; Total: - 10 to 19,Margin of Error; Total: - 10 to 19,Estimate; Total: - 20 to 49,Margin of Error; Total: - 20 to 49,Estimate; Total: - 50 or more,Margin of Error; Total: - 50 or more,Estimate; Total: - Mobile home,Margin of Error; Total: - Mobile home,"Estimate; Total: - Boat, RV, van, etc.","Margin of Error; Total: - Boat, RV, van, etc."
1500000US360610086032,360610086032,"Block Group 2, Census Tract 86.03, New York County, New York",667,120,0,11,0,11,49,79,16,27,0,11,0,11,12,20,590,119,0,11,0,11
1500000US360610086033,360610086033,"Block Group 3, Census Tract 86.03, New York County, New York",705,135,0,11,0,11,0,11,0,11,14,23,0,11,250,85,441,150,0,11,0,11
1500000US360610086034,360610086034,"Block Group 4, Census Tract 86.03, New York County, New York",1036,124,0,11,0,11,0,11,0,11,19,29,0,11,190,68,827,135,0,11,0,11
1500000US360610087001,360610087001,"Block Group 1, Census Tract 87, New York County, New York",1547,261,0,11,0,11,124,142,0,11,56,72,229,132,359,170,779,236,0,11,0,11
1500000US360610087002,360610087002,"Block Group 2, Census Tract 87, New York County, New York",661,176,0,11,0,11,0,11,0,11,139,93,54,62,286,166,182,156,0,11,0,11
1500000US360610087003,360610087003,"Block Group 3, Census Tract 87, New York County, New York",576,169,0,11,0,11,0,11,0,11,78,54,0,11,29,57,469,171,0,11,0,11
1500000US360610087004,360610087004,"Block Group 4, Census Tract 87, New York County, New York",648,192,0,11,77,124,76,67,0,11,29,46,53,58,259,143,154,84,0,11,0,11
1500000US360610087005,360610087005,"Block Group 5, Census Tract 87, New York County, New York",685,206,0,11,0,11,67,109,0,11,25,40,261,137,332,186,0,11,0,11,0,11
1500000US360610088001,360610088001,"Block Group 1, Census Tract 88, New York County, New York",503,159,0,11,0,11,0,11,0,11,0,11,0,11,101,86,402,151,0,11,0,11
1500000US360610088002,360610088002,"Block Group 2, Census Tract 88, New York County, New York",921,257,0,11,0,11,30,50,95,151,0,11,25,41,56,63,715,221,0,11,0,11
1500000US360610088003,360610088003,"Block Group 3, Census Tract 88, New York County, New York",1009,260,21,34,0,11,0,11,0,11,0,11,0,11,27,45,961,269,0,11,0,11
1500000US360610088004,360610088004,"Block Group 4, Census Tract 88, New York County, New York",665,170,24,39,0,11,0,11,0,11,0,11,0,11,0,11,641,178,0,11,0,11
1500000US360610088005,360610088005,"Block Group 5, Census Tract 88, New York County, New York",652,230,0,11,0,11,0,11,0,11,0,11,0,11,162,157,490,213,0,11,0,11
1500000US360610088006,360610088006,"Block Group 6, Census Tract 88, New York County, New York",1121,227,0,11,0,11,0,11,0,11,0,11,0,11,59,71,1062,239,0,11,0,11
1500000US360610088007,360610088007,"Block Group 7, Census Tract 88, New York County, New York",771,168,0,11,0,11,0,11,0,11,0,11,0,11,0,11,771,168,0,11,0,11
1500000US360610089001,360610089001,"Block Group 1, Census Tract 89, New York County, New York",556,136,0,11,0,11,0,11,16,26,147,91,99,51,89,64,205,109,0,11,0,11
1500000US360610089002,360610089002,"Block Group 2, Census Tract 89, New York County, New York",597,125,17,30,0,11,31,36,97,58,68,49,92,81,143,78,108,41,41,67,0,11
1500000US360610089003,360610089003,"Block Group 3, Census Tract 89, New York County, New York",873,170,0,11,0,11,0,11,41,32,26,31,152,96,394,131,260,111,0,11,0,11
1500000US360610089004,360610089004,"Block Group 4, Census Tract 89, New York County, New York",611,161,0,11,27,32,16,25,0,11,86,78,133,106,212,130,137,106,0,11,0,11
1500000US360610089005,360610089005,"Block Group 5, Census Tract 89, New York County, New York",864,164,34,44,29,23,0,11,40,64,190,123,159,83,134,66,278,121,0,11,0,11
1500000US360610090001,360610090001,"Block Group 1, Census Tract 90, New York County, New York",875,172,0,11,0,11,0,11,0,11,97,91,119,117,18,29,641,146,0,11,0,11
1500000US360610090002,360610090002,"Block Group 2, Census Tract 90, New York County, New York",1249,235,25,41,0,11,0,11,0,11,0,11,0,11,151,129,1073,244,0,11,0,11
1500000US360610090003,360610090003,"Block Group 3, Census Tract 90, New York County, New York",715,201,0,11,0,11,0,11,0,11,0,11,59,54,0,11,656,198,0,11,0,11
1500000US360610090004,360610090004,"Block Group 4, Census Tract 90, New York County, New York",1178,220,67,78,0,11,0,11,0,11,0,11,136,86,306,175,669,187,0,11,0,11
1500000US360610090005,360610090005,"Block Group 5, Census Tract 90, New York County, New York",481,154,0,11,68,57,0,11,31,52,0,11,21,35,35,58,326,144,0,11,0,11
1500000US360610090006,360610090006,"Block Group 6, Census Tract 90, New York County, New York",1304,296,0,11,0,11,79,98,0,11,0,11,114,101,46,57,1065,253,0,11,0,11
1500000US360610091001,360610091001,"Block Group 1, Census Tract 91, New York County, New York",1539,259,26,33,0,11,0,11,53,65,34,41,77,45,381,178,968,253,0,11,0,11
1500000US360610091002,360610091002,"Block Group 2, Census Tract 91, New York County, New York",1374,242,44,56,0,11,89,105,0,11,0,11,16,26,203,163,989,217,33,53,0,11
1500000US360610091003,360610091003,"Block Group 3, Census Tract 91, New York County, New York",664,238,0,11,0,11,0,11,0,11,30,50,47,55,38,45,549,243,0,11,0,11
