License Serial Number,License Type Name,License Class Code,License Type Code,Agency Zone Office Name,Agency Zone Office Number,County Name (Licensee),Premises Name,Doing Business As (DBA),Actual Address of Premises (Address1),Additional Address Information (Address2),City,State,Zip,License Certificate Number,License Original Issue Date,License Effective Date,License Expiration Date,Latitude,Longitude,Location
1289006,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,SHAKE SHACK FULTON CENTER NYC LLC,SHAKE SHACK,200 BROADWAY,#2010,NEW YORK,NY,10038,835387,7/11/16,7/1/18,6/30/20,40.70956,-73.96164,"(40.70956, -73.96164)"
1294453,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NOVEL FOODS INC,BITE,62 W 22ND ST,,NEW YORK,NY,10010,835323,7/12/16,7/1/18,6/30/20,40.74199,-73.99298,"(40.74199, -73.99298)"
1292880,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,TROPICAL GRILL ON 2ND AVE CORP,TROPICAL GRILL RESTAURANT,2419 2ND AVE,AKA 245 E 124TH ST,NEW YORK,NY,10035,835361,7/14/16,7/1/18,6/30/20,40.80217,-73.93409,"(40.80217, -73.93409)"
1294112,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,KINTARO FOODS LLC,BESSOU,5 BLEECKER ST,,NEW YORK,NY,10012,835397,7/19/16,7/1/18,6/30/20,40.72545,-73.99269,"(40.72545, -73.99269)"
1295773,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,SRG CHURCH STREET LLC,SCHNIPPERS,120 CHURCH ST,,NEW YORK,NY,10007,835380,7/19/16,7/1/18,6/30/20,40.71381,-74.00891,"(40.71381, -74.00891)"
1290578,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,DBTG 14 LTD,DIRTY BIRD TO-GO,204 208 W 14TH ST,,NEW YORK,NY,10011,835425,7/19/16,7/1/18,6/30/20,0,0,"(0.0, 0.0)"
1294575,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,3RD AVENUE COFFEE CORP,IRVING FARM COFFEE ROASTERS,1424 3RD AVE,,NEW YORK,NY,10028,835398,7/20/16,7/1/18,6/30/20,40.77557,-73.95657,"(40.77557, -73.95657)"
1295009,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,ATOBOY LLC,,43 E 28TH ST,,NEW YORK,NY,10016,835362,7/22/16,7/1/18,6/30/20,40.74364,-73.98456,"(40.74364, -73.98456)"
1293352,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,EDA FOOD INC,MUGHLAI INDIAN CUISINE,329 3RD AVE,,NEW YORK,NY,10010,835327,7/22/16,7/1/18,6/30/20,40.73975,-73.98226,"(40.73975, -73.98226)"
1292161,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,KOREAN EXPRESS 101 INC,MOKJA,852 AMSTERDAM AVE,,NEW YORK,NY,10025,835408,7/26/16,7/1/18,6/30/20,40.79771,-73.96792,"(40.79771, -73.96792)"
1295345,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,GOURMET TECH CORP,MARCHE MADISON,630 1ST AVE,,NEW YORK,NY,10016,835409,7/26/16,7/1/18,6/30/20,40.74543,-73.97204,"(40.74543, -73.97204)"
1294053,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,RASCAL CRAFT LLC,HOP HOUSE HARLEM,2224 FREDERICK DOUGLAS BLVD,,NEW YORK,NY,10026,835392,7/27/16,7/1/18,6/30/20,40.80681,-73.9534,"(40.80681, -73.9534)"
1293202,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,STICKY FINGERS III LLC,STICKYS FINGER JOINT,598 9TH AVE,,NEW YORK,NY,10036,835488,6/24/16,7/10/18,5/31/20,40.75889,-73.99208,"(40.75889, -73.99208)"
1305782,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,TRIKAM NY 1190 6 LLC,INDIKITCH,1190 AVENUE OF THE AMERICAS,,NEW YORK,NY,10036,824445,7/12/18,7/12/18,6/30/20,40.75768,-73.98181,"(40.75768, -73.98181)"
1309505,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,CORE ORGANIC INC,PLEROMA,220 E 42ND ST,,NEW YORK,NY,10017,824447,7/12/18,7/12/18,6/30/20,40.75013,-73.97335,"(40.75013, -73.97335)"
1309653,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,48TH STREET TACOS LLC,DOS TOROS TAQUERIA,10 E 48TH ST,AKA STORE #3 (8 E 48TH ST),NEW YORK,NY,10017,824452,7/16/18,7/16/18,6/30/20,40.75687,-73.97744,"(40.75687, -73.97744)"
1308740,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,TASTY TAIWAN LLC,886,26 SAINT MARKS PL,,NEW YORK,NY,10003,824454,7/17/18,7/17/18,6/30/20,40.72888,-73.98865,"(40.72888, -73.98865)"
1309499,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,OMAKASA 56 SPRING LLC,OMAKASA,56 SPRING ST,,NEW YORK,NY,10012,824455,7/17/18,7/17/18,6/30/20,40.72206,-73.99674,"(40.72206, -73.99674)"
1311260,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,MISSION CEVICHE CANAL LLC,,261 267 CANAL ST,STALL #8,NEW YORK,NY,10013,824457,7/18/18,7/18/18,6/30/20,0,0,"(0.0, 0.0)"
1310129,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,LXC INC,POKERICE,162 W 4TH ST,"STORE 4,5",NEW YORK,NY,10014,824458,7/19/18,7/19/18,6/30/20,40.73186,-74.00138,"(40.73186, -74.00138)"
1311611,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,DIG INN 100 WEST 67TH STREET LLC,DIG INN,100 W 67TH ST,,NEW YORK,NY,10023,824463,7/24/18,7/24/18,6/30/20,40.77428,-73.98148,"(40.77428, -73.98148)"
1310397,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,KUNI'S CORPORATION,IKINARI STEAK,1007 LEXINGTON AVE,,NEW YORK,NY,10021,824462,7/24/18,7/24/18,6/30/20,40.77074,-73.96181,"(40.77074, -73.96181)"
1310582,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,TERRAVITA CORP,,4193 BROADWAY,STORE #3,NEW YORK,NY,10033,824470,7/31/18,7/31/18,6/30/20,40.84807,-73.93803,"(40.84807, -73.93803)"
1295121,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,HAPPY HOT HUNAN RESTAURANT INC,,969 AMSTERDAM AVE,,NEW YORK,NY,10025,835490,8/2/16,8/1/18,7/31/20,40.80139,-73.9648,"(40.80139, -73.9648)"
1290929,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,EAST HARLEM BOTTLING CO LLC,,1711 LEXINGTON AVE,,NEW YORK,NY,10029,835419,8/4/16,8/1/18,7/31/20,40.79296,-73.94559,"(40.79296, -73.94559)"
1294945,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,ASIAN 59 INC,ASIAN 59 CHINESE JAPANESE & ASIAN CUISINE,207 E 59TH ST,,NEW YORK,NY,10022,835530,8/4/16,8/1/18,7/31/20,40.76143,-73.96603,"(40.76143, -73.96603)"
1293140,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NEW HDM INC,HUNAN DELIGHT MATSUYA,452 E 78TH ST,,NEW YORK,NY,10075,835439,8/10/16,8/1/18,7/31/20,40.77069,-73.95117,"(40.77069, -73.95117)"
1294752,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,COFFEEMEN'S LLC,LITTLE CANAL,26 CANAL ST,,NEW YORK,NY,10002,835399,8/11/16,8/1/18,7/31/20,40.71433,-73.99043,"(40.71433, -73.99043)"
1293194,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,TROPICAL GRILL ON 7TH AVE CORP,TROPICAL GRILL RESTAURANT,2145 2151 ADAM CLYTN PWL JR BL,,NEW YORK,NY,10027,835510,8/24/16,8/1/18,7/31/20,0,0,"(0.0, 0.0)"
1294003,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,MOTORINO 3 INC,MOTORINO,510 COLUMBUS AVE,,NEW YORK,NY,10024,835521,8/31/16,8/1/18,7/31/20,40.78555,-73.97294,"(40.78555, -73.97294)"
1295723,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,BEAUTEMPS INC,MOMOKAWA,1466 1ST AVE,,NEW YORK,NY,10075,835529,8/31/16,8/1/18,7/31/20,40.77053,-73.95379,"(40.77053, -73.95379)"
1310462,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,STAR GLORY INC,MIZU,29 E 20TH ST,FRNT 1,NEW YORK,NY,10003,824474,8/2/18,8/2/18,7/31/20,40.73898,-73.98903,"(40.73898, -73.98903)"
1307600,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,GREEK GRILL CROSSBAY CORP,,156 40 CROSSBAY BLVD,,HOWARD BEACH,NY,11414,824475,8/2/18,8/2/18,7/31/20,40.5944,-73.98972,"(40.5944, -73.98972)"
1309935,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,HCM GROUP INC,PHO BAR,82 W 3RD ST,,NEW YORK,NY,10012,824478,8/7/18,8/7/18,7/31/20,40.72975,-73.99893,"(40.72975, -73.99893)"
1306311,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,STINGRAY'S LLC,,2150 5TH AVE,,NEW YORK,NY,10037,824480,8/9/18,8/9/18,7/31/20,40.81064,-73.9394,"(40.81064, -73.9394)"
1309877,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,SUNNYS ISLAND LLC,BRINE,106 8TH AVE,,NEW YORK,NY,10011,824483,8/9/18,8/9/18,7/31/20,40.74059,-74.00169,"(40.74059, -74.00169)"
1311177,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,NEW CLINTON HOSPITALITY LLC,BRICIA,79 CLINTON ST,CORNER OF CLINTON & RIVINGTON,NEW YORK,NY,10002,824486,8/9/18,8/9/18,7/31/20,40.71903,-73.98521,"(40.71903, -73.98521)"
1311126,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,HORTUS NYC CORP,,271 5TH AVE,,NEW YORK,NY,10016,824489,8/13/18,8/13/18,7/31/20,40.74545,-73.98652,"(40.74545, -73.98652)"
1304231,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,MEGA PIE GREENWICH INC,PIEOLOGY,168 BLEECKER ST,,NEW YORK,NY,10012,801458,8/13/18,8/13/18,7/31/20,40.72852,-74.00006,"(40.72852, -74.00006)"
1310696,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,KAISHOU INC,RYUSEI,216 E 39TH ST,,NEW YORK,NY,10016,824492,8/17/18,8/17/18,7/31/20,40.74845,-73.97513,"(40.74845, -73.97513)"
1310566,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,BODEGA RESTAURANT GROUP CORP,BODEGA PIZZA,4455 BROADWAY,,NEW YORK,NY,10040,824496,8/20/18,8/20/18,7/31/20,40.85719,-73.93261,"(40.85719, -73.93261)"
1303708,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,BLEECKER FISH LLC,,280 BLEECKER ST,,NEW YORK,NY,10014,824494,8/20/18,8/20/18,7/31/20,40.73172,-74.0034,"(40.73172, -74.0034)"
1311310,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,SILKY HOSPITALITY INC,SILKY KITCHEN,137 E 13TH ST,,NEW YORK,NY,10003,824500,8/21/18,8/21/18,7/31/20,40.73296,-73.98829,"(40.73296, -73.98829)"
1309965,RESTAURANT WINE,341,RW,New York City,1,NEW YORK,BAHN MI 119 23RD LLC,BONMI,119 121 E 23RD ST,,NEW YORK,NY,10010,801460,8/21/18,8/21/18,7/31/20,0,0,"(0.0, 0.0)"
