GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - With interest, dividends, or net rental income","Margin of Error; Total: - With interest, dividends, or net rental income","Estimate; Total: - No interest, dividends, or net rental income","Margin of Error; Total: - No interest, dividends, or net rental income"
1400000US36061023000,36061023000,"Census Tract 230, New York County, New York",3606,159,208,104,3398,188
1400000US36061023100,36061023100,"Census Tract 231, New York County, New York",2660,161,265,103,2395,199
1400000US36061023200,36061023200,"Census Tract 232, New York County, New York",3158,131,84,58,3074,137
1400000US36061023300,36061023300,"Census Tract 233, New York County, New York",2577,117,291,109,2286,154
1400000US36061023400,36061023400,"Census Tract 234, New York County, New York",2315,102,209,101,2106,140
1400000US36061023501,36061023501,"Census Tract 235.01, New York County, New York",2525,107,287,115,2238,166
1400000US36061023502,36061023502,"Census Tract 235.02, New York County, New York",838,59,29,25,809,62
1400000US36061023600,36061023600,"Census Tract 236, New York County, New York",3004,176,219,128,2785,211
1400000US36061023700,36061023700,"Census Tract 237, New York County, New York",2752,122,206,103,2546,153
1400000US36061023801,36061023801,"Census Tract 238.01, New York County, New York",4118,291,916,248,3202,279
1400000US36061023802,36061023802,"Census Tract 238.02, New York County, New York",672,57,175,56,497,65
1400000US36061023900,36061023900,"Census Tract 239, New York County, New York",1087,52,132,62,955,77
1400000US36061024000,36061024000,"Census Tract 240, New York County, New York",0,11,0,11,0,11
1400000US36061024100,36061024100,"Census Tract 241, New York County, New York",3081,212,471,146,2610,235
1400000US36061024200,36061024200,"Census Tract 242, New York County, New York",1558,74,33,29,1525,74
1400000US36061024301,36061024301,"Census Tract 243.01, New York County, New York",1439,93,83,55,1356,105
1400000US36061024302,36061024302,"Census Tract 243.02, New York County, New York",2590,110,34,53,2556,129
1400000US36061024500,36061024500,"Census Tract 245, New York County, New York",4778,200,305,164,4473,270
1400000US36061024700,36061024700,"Census Tract 247, New York County, New York",2467,161,177,89,2290,168
1400000US36061024900,36061024900,"Census Tract 249, New York County, New York",419,21,28,16,391,25
1400000US36061025100,36061025100,"Census Tract 251, New York County, New York",734,53,50,25,684,53
1400000US36061025300,36061025300,"Census Tract 253, New York County, New York",3826,123,322,143,3504,176
1400000US36061025500,36061025500,"Census Tract 255, New York County, New York",2097,166,224,95,1873,196
1400000US36061025700,36061025700,"Census Tract 257, New York County, New York",1803,102,304,81,1499,125
1400000US36061025900,36061025900,"Census Tract 259, New York County, New York",1681,77,216,78,1465,95
1400000US36061026100,36061026100,"Census Tract 261, New York County, New York",3700,147,180,103,3520,176
1400000US36061026300,36061026300,"Census Tract 263, New York County, New York",2893,135,228,116,2665,164
1400000US36061026500,36061026500,"Census Tract 265, New York County, New York",2774,145,469,127,2305,179
1400000US36061026700,36061026700,"Census Tract 267, New York County, New York",572,38,69,26,503,44
1400000US36061026900,36061026900,"Census Tract 269, New York County, New York",2730,124,84,64,2646,134
1400000US36061027100,36061027100,"Census Tract 271, New York County, New York",3061,79,551,151,2510,168
1400000US36061027300,36061027300,"Census Tract 273, New York County, New York",3106,190,777,195,2329,210
1400000US36061027500,36061027500,"Census Tract 275, New York County, New York",1547,93,519,110,1028,130
1400000US36061027700,36061027700,"Census Tract 277, New York County, New York",2195,101,31,36,2164,106
1400000US36061027900,36061027900,"Census Tract 279, New York County, New York",3935,177,464,141,3471,228
1400000US36061028100,36061028100,"Census Tract 281, New York County, New York",1412,40,497,97,915,99
1400000US36061028300,36061028300,"Census Tract 283, New York County, New York",3079,173,452,138,2627,222
1400000US36061028500,36061028500,"Census Tract 285, New York County, New York",2682,127,102,71,2580,139
1400000US36061028700,36061028700,"Census Tract 287, New York County, New York",1529,100,288,87,1241,95
1400000US36061029100,36061029100,"Census Tract 291, New York County, New York",4076,105,128,81,3948,131
1400000US36061029300,36061029300,"Census Tract 293, New York County, New York",2965,148,164,88,2801,149
1400000US36061029500,36061029500,"Census Tract 295, New York County, New York",3396,157,583,184,2813,218
1400000US36061029700,36061029700,"Census Tract 297, New York County, New York",0,11,0,11,0,11
1400000US36061029900,36061029900,"Census Tract 299, New York County, New York",1486,74,44,32,1442,69
1400000US36061030300,36061030300,"Census Tract 303, New York County, New York",1810,80,339,94,1471,106
1400000US36061030700,36061030700,"Census Tract 307, New York County, New York",1836,90,519,106,1317,121
1400000US36061030900,36061030900,"Census Tract 309, New York County, New York",3488,144,314,141,3174,193
1400000US36061031100,36061031100,"Census Tract 311, New York County, New York",0,11,0,11,0,11
1400000US36061031703,36061031703,"Census Tract 317.03, New York County, New York",4033,226,1699,248,2334,294
1400000US36061031704,36061031704,"Census Tract 317.04, New York County, New York",3386,230,1300,282,2086,273
1400000US36061031900,36061031900,"Census Tract 319, New York County, New York",0,11,0,11,0,11
